Scheduling Algorithm,Type,Process ID,Arrival Time,Burst Time,Start Time,Completion Time,Waiting Time,Turnaround Time,Assigned Nodes,Status,Metric,Value,Node ID,Utilization Time,Utilization Percent
ContextAware,Process,7,47,55,47.0,102.0,0.0,55.0,"""2""",Scheduled,,,,,
ContextAware,Process,6,99,39,102.0,141.0,3.0,42.0,"""2""",Scheduled,,,,,
ContextAware,Process,1,24,58,24.0,176.495,0.0,152.495,"""2;3""",Scheduled,,,,,
ContextAware,Process,4,74,35,74.0,98.8917,0.0,24.8917,"""1;3""",Scheduled,,,,,
ContextAware,Process,8,85,39,176.495,215.495,91.4946,130.495,"""2""",Scheduled,,,,,
ContextAware,Process,3,95,40,95.0,132.699,0.0,37.6988,"""1;4""",Scheduled,,,,,
ContextAware,Process,2,0,29,132.699,161.699,132.699,161.699,"""1""",Scheduled,,,,,
ContextAware,Process,5,48,36,98.8917,134.892,50.8917,86.8917,"""3""",Scheduled,,,,,
ContextAware,Summary,,,,,,,,,,Metric,Value,,,
ContextAware,Summary,,,,,,,,,,Algorithm,Context-Aware,,,
ContextAware,Summary,,,,,,,,,,Total Processes,8.0,,,
ContextAware,Summary,,,,,,,,,,Scheduled Processes,8.0,,,
ContextAware,Summary,,,,,,,,,,Failed Processes,0.0,,,
ContextAware,Summary,,,,,,,,,,Success Rate,100.0,,,
ContextAware,Summary,,,,,,,,,,Total Execution Time,215.495,,,
ContextAware,Summary,,,,,,,,,,Average Waiting Time,34.7606,,,
ContextAware,Summary,,,,,,,,,,Average Turnaround Time,86.3963,,,
ContextAware,Summary,,,,,,,,,,Throughput,0.0371239,,,
ContextAware,Summary,,,,,,,,,,CPU Utilization,8.63,,,
ContextAware,Summary,,,,,,,,,,Memory Utilization,41.5495,,,
ContextAware,Summary,,,,,,,,,,Bandwidth Utilization,5.0481,,,
ContextAware,Summary,,,,,,,,,,Scheduling Overhead,70 calculations,,,
ContextAware,Summary,,,,,,,,,,Process Score Calculations,16.0,,,
ContextAware,Summary,,,,,,,,,,Node Score Calculations,32.0,,,
ContextAware,Summary,,,,,,,,,,Resource Checks,11.0,,,
ContextAware,Summary,,,,,,,,,,Retry Attempts,0.0,,,
ContextAware,Summary,,,,,,,,,,Partitioning Attempts,11.0,,,
ContextAware,Node Utilization,,,,,,,,,,,,4,40.0,18.5619
ContextAware,Node Utilization,,,,,,,,,,,,3,129.0,59.8623
ContextAware,Node Utilization,,,,,,,,,,,,2,191.0,88.6333
ContextAware,Node Utilization,,,,,,,,,,,,1,104.0,48.2611
FCFS,Process,1,24,58,24.0,82.0,0.0,58.0,1,Scheduled,,,,,
FCFS,Process,2,0,29,82.0,111.0,82.0,111.0,1,Scheduled,,,,,
FCFS,Process,3,95,40,95.0,135.0,0.0,40.0,2,Scheduled,,,,,
FCFS,Process,4,74,35,74.0,109.0,0.0,35.0,3,Scheduled,,,,,
FCFS,Process,5,48,36,111.0,147.0,63.0,99.0,1,Scheduled,,,,,
